uId  IsMarried  Car  SaveAct 

ID12101  NO  NO  NO  
ID12118  YES  NO  YES  
ID12126  YES  YES  YES  
ID12128  YES  NO  NO  
ID12136  YES  NO  YES  
ID12137  YES  YES  YES  
ID12138  NO  YES  NO  
ID12145  NO  YES  YES  
ID12162  NO  YES  NO  
ID12167  NO  NO  YES  
ID12173  YES  YES  YES  
ID12175  NO  YES  YES  
ID12177  NO  NO  YES  
ID12187  YES  NO  YES  
ID12207  YES  YES  YES  
ID12220  YES  YES  YES  
ID12223  YES  NO  YES  
ID12240  NO  NO  YES  
ID12245  YES  NO  YES  
ID12265  YES  NO  NO  
ID12281  YES  NO  YES  
ID12284  YES  YES  YES  
ID12285  NO  YES  YES  
ID12288  YES  NO  NO  
ID12300  YES  NO  YES  
ID12324  YES  NO  YES  
ID12349  YES  NO  YES  
ID12358  YES  NO  NO  
ID12365  NO  YES  YES  
ID12367  NO  YES  YES  
ID12385  YES  NO  YES  
ID12434  YES  NO  YES  
ID12435  YES  NO  NO  
ID12450  NO  NO  NO  
ID12454  NO  YES  YES  
ID12464  YES  NO  YES  
ID12506  YES  YES  YES  
ID12509  YES  YES  NO  
ID12510  YES  NO  YES  
ID12513  NO  YES  YES  
ID12522  NO  NO  YES  
ID12523  YES  YES  NO  
ID12543  YES  YES  YES  
ID12552  NO  YES  YES  
ID12563  YES  YES  NO  
ID12565  NO  YES  YES  
ID12607  YES  NO  NO  
ID12613  YES  YES  YES  
ID12624  YES  YES  YES  
ID12628  NO  NO  YES  
ID12639  YES  NO  YES  
ID12642  YES  NO  YES  
ID12669  YES  YES  YES  
ID12676  YES  NO  YES  
ID12693  YES  NO  YES  
ID12694  YES  NO  YES  
ID12696  NO  YES  YES  
uId  IsMarried  Car  SaveAct 

ID12101  NO  NO  NO  
ID12118  YES  NO  YES  
ID12126  YES  YES  YES  
ID12128  YES  NO  NO  
ID12136  YES  NO  YES  
ID12137  YES  YES  YES  
ID12138  NO  YES  NO  
ID12145  NO  YES  YES  
ID12162  NO  YES  NO  
ID12167  NO  NO  YES  
ID12173  YES  YES  YES  
ID12175  NO  YES  YES  
ID12177  NO  NO  YES  
ID12187  YES  NO  YES  
ID12207  YES  YES  YES  
ID12220  YES  YES  YES  
ID12223  YES  NO  YES  
ID12240  NO  NO  YES  
ID12245  YES  NO  YES  
ID12265  YES  NO  NO  
ID12281  YES  NO  YES  
ID12284  YES  YES  YES  
ID12285  NO  YES  YES  
ID12288  YES  NO  NO  
ID12300  YES  NO  YES  
ID12324  YES  NO  YES  
ID12349  YES  NO  YES  
ID12358  YES  NO  NO  
ID12365  NO  YES  YES  
ID12367  NO  YES  YES  
ID12385  YES  NO  YES  
ID12434  YES  NO  YES  
ID12435  YES  NO  NO  
ID12450  NO  NO  NO  
ID12454  NO  YES  YES  
ID12464  YES  NO  YES  
ID12506  YES  YES  YES  
ID12509  YES  YES  NO  
ID12510  YES  NO  YES  
ID12513  NO  YES  YES  
ID12522  NO  NO  YES  
ID12523  YES  YES  NO  
ID12543  YES  YES  YES  
ID12552  NO  YES  YES  
ID12563  YES  YES  NO  
ID12565  NO  YES  YES  
ID12607  YES  NO  NO  
ID12613  YES  YES  YES  
ID12624  YES  YES  YES  
ID12628  NO  NO  YES  
ID12639  YES  NO  YES  
ID12642  YES  NO  YES  
ID12669  YES  YES  YES  
ID12676  YES  NO  YES  
ID12693  YES  NO  YES  
ID12694  YES  NO  YES  
ID12696  NO  YES  YES  
